#Depth ice/snow [m]	Cal age [ka BP] (ice age)
0.36	-0.056
0.767	-0.055
1.156	-0.054
1.701	-0.053
2.162	-0.052
2.576	-0.051
3.109	-0.05
3.581	-0.049
4.037	-0.048
4.444	-0.047
4.823	-0.046
5.135	-0.045
5.581	-0.044
6.136	-0.043
6.655	-0.042
7.111	-0.041
7.428	-0.04
7.786	-0.039
8.238	-0.038
8.571	-0.037
8.864	-0.036
9.293	-0.035
9.758	-0.034
10.102	-0.033
10.464	-0.032
10.883	-0.031
11.359	-0.03
11.733	-0.029
11.961	-0.028
12.349	-0.027
12.681	-0.026
12.999	-0.025
13.242	-0.024
13.561	-0.023
14.033	-0.022
14.308	-0.021
14.68	-0.02
14.969	-0.019
15.389	-0.018
15.692	-0.017
15.966	-0.016
16.302	-0.015
16.661	-0.014
17.01	-0.013
17.324	-0.012
17.558	-0.011
17.997	-0.01
18.272	-0.009
18.574	-0.008
18.952	-0.007
19.282	-0.006
19.527	-0.005
19.821	-0.004
20.203	-0.003
20.524	-0.002
20.949	-0.001
21.236	0.0
21.578	0.001
21.853	0.002
22.213	0.003
22.458	0.004
22.842	0.005
23.147	0.006
23.396	0.007
23.826	0.008
24.061	0.009
24.426	0.01
24.839	0.011
25.127	0.012
25.451	0.013
25.727	0.014
26.058	0.015
26.406	0.016
26.627	0.017
27.076	0.018
27.355	0.019
27.679	0.02
28.0	0.021
28.264	0.022
28.572	0.023
28.851	0.024
29.069	0.025
29.306	0.026
29.695	0.027
29.931	0.028
30.202	0.029
30.663	0.03
30.95	0.031
31.308	0.032
31.601	0.033
31.861	0.034
32.102	0.035
32.424	0.036
32.708	0.037
33.013	0.038
33.298	0.039
33.518	0.04
33.807	0.041
34.099	0.042
34.317	0.043
34.487	0.044
34.737	0.045
35.143	0.046
35.481	0.047
35.786	0.048
36.141	0.049
36.462	0.05
36.731	0.051
37.068	0.052
37.285	0.053
37.679	0.054
37.914	0.055
38.13	0.056
38.43	0.057
38.771	0.058
39.03	0.059
39.298	0.06
39.666	0.061
39.969	0.062
40.31	0.063
40.51	0.064
40.707	0.065
40.969	0.066
41.21	0.067
41.585	0.068
41.805	0.069
42.09	0.07
42.522	0.071
42.841	0.072
43.124	0.073
43.422	0.074
43.804	0.075
44.005	0.076
44.272	0.077
44.495	0.078
44.676	0.079
44.887	0.08
45.168	0.081
45.411	0.082
45.732	0.083
45.937	0.084
46.306	0.085
46.508	0.086
46.765	0.087
46.952	0.088
47.278	0.089
47.531	0.09
47.758	0.091
47.959	0.092
48.118	0.093
48.317	0.094
48.727	0.095
48.99	0.096
49.239	0.097
49.568	0.098
49.827	0.099
50.039	0.1
50.347	0.101
50.752	0.102
50.967	0.103
51.18	0.104
51.447	0.105
51.703	0.106
51.981	0.107
52.248	0.108
52.578	0.109
52.809	0.11
53.004	0.111
53.265	0.112
53.488	0.113
53.752	0.114
54.019	0.115
54.231	0.116
54.557	0.117
54.75	0.118
55.052	0.119
55.402	0.12
55.619	0.121
55.861	0.122
56.162	0.123
56.378	0.124
56.693	0.125
57.062	0.126
57.274	0.127
57.511	0.128
57.809	0.129
58.071	0.13
58.321	0.131
58.506	0.132
58.761	0.133
59.015	0.134
59.346	0.135
59.566	0.136
59.793	0.137
60.07	0.138
60.339	0.139
60.59	0.14
60.828	0.141
61.061	0.142
61.315	0.143
61.536	0.144
61.766	0.145
62.008	0.146
62.233	0.147
62.506	0.148
62.75	0.149
62.995	0.15
63.204	0.151
63.388	0.152
63.625	0.153
63.87	0.154
64.201	0.155
64.384	0.156
64.617	0.157
64.888	0.158
65.204	0.159
65.488	0.16
65.747	0.161
65.954	0.162
66.195	0.163
66.523	0.164
66.764	0.165
67.046	0.166
67.345	0.167
67.599	0.168
67.821	0.169
68.078	0.17
68.261	0.171
68.497	0.172
68.705	0.173
68.964	0.174
69.254	0.175
69.568	0.176
69.864	0.177
70.043	0.178
70.29	0.179
70.528	0.18
70.819	0.181
71.033	0.182
71.235	0.183
71.509	0.184
71.786	0.185
72.001	0.186
72.278	0.187
72.53	0.188
72.81	0.189
73.079	0.19
73.3	0.191
73.521	0.192
73.708	0.193
73.942	0.194
74.14	0.195
74.33	0.196
74.584	0.197
74.838	0.198
75.092	0.199
75.349	0.2
75.599	0.201
75.807	0.202
76.003	0.203
76.212	0.204
76.445	0.205
76.64	0.206
76.822	0.207
77.041	0.208
77.266	0.209
77.481	0.21
77.683	0.211
77.951	0.212
78.195	0.213
78.457	0.214
78.748	0.215
78.982	0.216
79.183	0.217
79.403	0.218
79.714	0.219
79.911	0.22
80.158	0.221
80.484	0.222
80.698	0.223
80.94	0.224
81.114	0.225
81.363	0.226
81.542	0.227
81.818	0.228
82.072	0.229
82.271	0.23
82.494	0.231
82.785	0.232
83.007	0.233
83.199	0.234
83.447	0.235
83.626	0.236
83.845	0.237
84.142	0.238
84.356	0.239
84.597	0.24
84.855	0.241
85.033	0.242
85.333	0.243
85.494	0.244
85.688	0.245
85.958	0.246
86.215	0.247
86.484	0.248
86.725	0.249
86.904	0.25
87.107	0.251
87.335	0.252
87.554	0.253
87.79	0.254
88.021	0.255
88.334	0.256
88.565	0.257
88.763	0.258
89.019	0.259
89.25	0.26
89.493	0.261
89.679	0.262
89.9	0.263
90.094	0.264
90.337	0.265
90.6	0.266
90.822	0.267
91.03	0.268
91.248	0.269
91.386	0.27
91.623	0.271
91.817	0.272
92.075	0.273
92.302	0.274
92.516	0.275
92.745	0.276
92.954	0.277
93.212	0.278
93.364	0.279
